абсорбуючий      здатний абсорбувати, абсорбційний, абсорбент
заперечуючий     схильний /готовий/ заперечувати, суперечник, заперечливий, заперечний, для заперечення
засинаючий       пойманий сном, ставши засинати, напівсонний, напівзаснулий
застигаючий      здатний затужавіти, щораз тужавіший, напівзастиглий, напівзатужавілий, (- тіло) напівзахололий
застрашуючий     здатний /покликаний/ застрашити, звиклий застрашувати, страхопуд, страшило, застрашливий
засуджуючий      звиклий гудити, огудник, осудливий, огудливий, огудний, огуджувальний
затихаючий       щораз тихший, напівзатихлий, напівущухлий, майже затихлий /ущухлий/, (звук) завмирущий
збаламучуючий    здатний збаламутити, баламут/а/, баламутний, баламутливий, для збаламучення, с. бунтівний, (звук) ґвалтівний
збурюючий        здатний збурити, збурювач, баламут/а/, колотник, збурливий, збурювальний, для збурення, п! збаламучуючий
зв'язуючий       здатний /покликаний/ зв'язати, в'язій, в'язальник, в'язальний, зв'язувальний, зв'язковий, єднальний, поєднавчий, сполучний
зимуючий         здатний перезимувати, звиклий зимувати, зимівник, зимовик, зимушній, зимувальний
знаючий          знавець, знайко, тямущий, досвідчений, обізнаний, компетентний, (погляд) знавецький, о. з головою, з клепкою в голові
знешкоджуючий    здатний знешкодити, знешкоджувальний, для знешкодження
зникаючий        зникомий, напівзниклий, запропащуваний, приречений зникнути, майже зниклий, на грані зникнення, обертаний у ніщо, (- тіні) розтаваний, танучий
знищуючий        здатний /радий, покликаний/ знищити, зайнятий нищенням, знищувач, винищувач, руйнівник, нищитель, нищівний, руйнівний, знищувальний, смертоносний, для знищення
зобов'язуючий    покликаний зобов'язати, зобов'язувач, імперативний, нормативний, юр. зобов'язальний
зустрічаючий     радий /покликаний, готовий/ зустріти, зустрічний
зустрічаючі      хто зустрічає
інтегруючий      покликаний /здатний, готовий, ставши/ інтегрувати, інтегратор, інтеграційний, інтегрувальний, в ролі стрижня, для інтеграції, ст. інтеграції (інтегруючий чинник = чинник інтеграції)
інтригуючий      звиклий інтригувати, зайнятий інтригами, інтриган, (факт) загадковий, таємничий, гостроцікавий
інформуючий      покликаний інформувати, інформатор, інформаційний
існуючий         здатний /змушений/ існувати, сущий, наявний, сучасний, теперішній, фр. не мертвий, живий, (у світі) подибуваний, відомий, (закон) наш, (- права) зафіксований
караючий         звиклий карати, радий покарати, каратель, каральник, каральний
кліпаючий        звиклий кліпати, радий підморгнути, моргун, кліпко, моргучий, д. моргосліпий, (вогонь) миготливий, мерехтливий, блимкий
колючий          призначений /звиклий/ колоти, здатний поколоти, колій, кілкий, колький, шпигучий, (- зброю) кинджальний, шпичастий, холодний
     колюча річ               гостряк, шпичка, шпичак
колючоріжучий    здатний колоти й різати, шпичасто-різучий
     колючоріжучий предмет     колючий різачок /різак/, різучий гостряк
конаючий         д! агонізуючий, вмираючий
консолідуючий    здатний /покликаний/ консолідувати, консолідаційний, гуртівний, для консолідації
контролюючий     покликаний /готовий/ контролювати, зайнятий контролем, контролер, перевірник, контрольний, перевірчий, для контролю
конфронтуючий    втягнутий у конфронтацію, протиборчий, супротивний, конфронтаційний
координуючий     покликаний координувати, здатний скоординувати, зайнятий координацією, координатор, координаційний, узгоджувальний, для координації /узгодження/
кривдячий        здатний скривдити, звиклий кривдити, кривдник, образливий, прикрий, дошкульний
ліберальствуючий схильний ліберальствувати, пошиваний у ліберали, ір. ліберал куди твоє діло, всім лібералам ліберал
лідируючий       передовий, провідний, авангардний, перший, лідер, флагман, на цей час лідер
маршуючий        покликаний /радий/ маршувати, маршовик, маршувальник, маршувальний, на марші
мешкаючий        жилець, житець, мешканець, квартирант, замешкалий, на квартирі
мислячий         здатний мислити, мислитель, головатий, тямущий, глибокодумний, інтелектуальний, -думець (н. інодумець), -думний (тугодумниий)
міліючий         щораз плиткіший, покинутий міліти
мітингуючий      розмітингований, радий /ставши/ мітингувати, учасник мітингу, мітингант
навчаючий        покликаний /здатний/ навчити, звиклий навчати, зайнятий навчанням, учитель, педагог, викладач, навчальний, вишкільний
моргаючий        звиклий моргати, + кліпаючий
надихаючий       здатний надихнути, надихущий, запалющий, наснажливий, поривущий
надходячий       д! наступаючий2
наростаючий      щораз дужчий /більший, вищий тщ/, неспинний, нестримний
наступаючий      1. (на пальці) звиклий наступати, 2. (ювілей) прийдешній, наступний, майбутній, вже близький, 3. (на фронті) зайнятий наступом, наступальний, штурмовий
невисихаючий     невисихущий, невисихомий
невідповідаючий  невідповідний, суперечний, не згідний з чим, розбіжний з чим
незмовкаючий     безугавний, невгавущий, (- овацію) довготривалий, нескінченний
неіснуючий       вигаданий, нереальний, уявлюваний, химерний, живий лише у сні, уявний, невідомий, відсутній, незафіксований, фр. неживий
немислячий       нездатний мислити, безголовий, бездумний, безмисленний
ненавидячий      сповнений ненависти, ненависник, ненавида, ненавидець, ненавидний, нанависний, антагоністичний
непрацюючий,     (хто) незайнятий, (мотор) застопорений, заглухлий, нерухомий,
                 (склеп) закритий, (проєкт) заморожений
нестихаючий      д! незмовкаючий
несучий          покликаний нести, носій, (- опору) підтримковий, хребетний, плечовий, (струм) тяговий, головний, о. з ношею, ск. -носець, -носій, -носний /н. зброєносець, крило-носій, смертоносний/
носталгуючий     охоплений носталгією
нуртуючий        розбурханий, розхвильований, клекотливий, бурхливий, кипучий, розшалілий, розгойданий
обеззброюючий    д! роззброюючий
обідаючий        звиклий обідати, зайнятий обідом, за обідом 
обіцяючий        готовий обіцяти, щедрий на обіцянки, обіцяльник, перспективний, повен надій
обмежуючий       здатний /покликаний, призначений/ обмежити, обмежувач, обмежувальний, межовий, для обмеження
обов'язуючий     обов'язковий для кого, імперативний, нормативний, змушений зобов'язати, юр. зобов'язальний
ображаючий       звиклий ображати, готовий /здатний/ образити, (вираз) сповнений образи, образливий для кого, дошкульний, гострий, п! кривдячий
оглупляючий      здатний оступачити, обаранювач, оступачувач, обаранливий, оступачливий
оживляючий       здатний відживити, воскреситель, відживний, живлющий, животворний, живодайний, мед. реанімаційний
оп'яняючий       здатний захмелити, п'янкий, п'янливий, (за)паморочливий, п'янкуватий, хмільний, млосний
організуючий     здатний /покликаний/ організувати, організатор, організаційний, організаторський, для організації
освідомлюючий    1. здатний /покликаний/ освідомити, освідомлювач, освідомлювальний, освідомчий, 2. = інформуючий
освіжающий       покликаний /здатний/ відсвіжити, відсвіжувач, відсвіжущий, відсвіжливий, для відсвіження, о. сповнений свіжости
оточуючий        здатний оточити, зайнятий оточенням, навколишній, довколишній, (мур) обвідний, 
оточуючі         оточення, довкілля
     оточуюче середовище           довкілля
пануючий         1. звиклий /покликаний/ панувати, пан, володар, владар, господар, панівний, керівний, владущий, владний, владовитий, 2. = домінуючий
переважаючий     найбільш поширений, поширеніший, більший числом, значно більший, численніший, переважний, панівний, з перевагою, на першому місці, п! домінуючий
перевіряючий     покликаний перевірити, зайнятий перевіркою, контролер, перевірник, перевіряльник, перевірчий, контрольний, перевіряльний
передуючий       попередній, фр. відомий до цього, (- віки) колишній, дотеперішній
переконуючий     здатний переконати, звиклий /ставши/ переконувати, переконувач, переконливий, переконавчий
перешкоджаючий,  здатний перешкодити, звиклий перешкоджати, як перешкода, гальмівний для, несприятливий, перешкодливий, поставлений на шляху, для перешкодження
пиловідсмоктуючий              здатний відсмоктувати пил, для пиловідсмоктування /відсмоктування пилу/, пилосмок, пиловідсмоктувальний
пиловсмоктуючий  здатний всмоктувати пил, для пиловсмоктування /всмоктування пилу/, пилосмок, пиловсмоктувальний
підбадьорюючий   здатний підбадьорити, підбадьорливий, бадьорущуй, бадьористий, бадьорий, для бадьорости
підбурюючий      готовий підбурити, підбурювач, підбехтувач, під'юджувач, підбурливий, підбурювальний, під'юдливий
підсихаючий      залишений підсихати, щораз сухіший, напівпідсохлий, майже підсохлий
підслуховуючий   звиклий підслухати, підслухач, підслухацький, (апарат) підслуховий
підтримуючий     звиклий підтримувати, покликаний /готовий/ підтримати, підтримувач, підтримковий, підтримувальний, підтримчий, (каркас) хребетний, для підтримки
пломеніючий      пломінкий, пломенистий, вогнистий, палахкотливий, о. як жар
побільшуючий     здатний /згодний, змушений, радий, готовий/ збільшити, звиклий збільшувати, побільшувач, збільшувальний, для збільшення
повертаючий      1. (узяте) змушений /радий, готовий/ повернути, поворотний, повертальний, ск. -бумеранг (н. пружина-бумеранг), 2. (на шляху) звиклий /ставши/ повертати, зайнятий поворотом, воротій, повертайло, повертальний, повертовий, о. на скруті, (річ) воротило
половіючий       (- жито) заполовілий, що половіє, напівзжовклий, майже зжовклий
помираючий       д! вмираючий
пориваючий       1. здатний розірвати, 2. (руку) здатний простягнути, 3. здатний захопити, захопливий, поривущий, 4. заохотливий, здатний заохотити, 5. здатний спокусити, спокусливий, знадливий, звабливий
потопаючий       приречений потонути, покинутий /ставши/ потопати, потопельник, утопленик, тонучий, (в чім) оточений /окутаний, оперезаний/ чим
потрясаючий      здатний приголомшити, разючий, приголомшливий, (ефект) могутній, надзвичайний, запаморочливий, о. як грім з ясного неба, (кошмар) моторошний, п! шокуючий
початкуючий      початківець, молодий
пошкоджуючий     здатний /радий/ пошкодити, калічник, увередливий, калічливий, шкідливий для чого, для пошкодження
правлячий        1. покликаний керувати, керівник, володар, державець, керманич, правитель, стерновий, панівний, керівний, урядущий, владущий, 2. зайнятий правленням, коректор, правильник, виправляч, виправний, правильний, корегувальний, випрямний
працюючий        зайнятий працею, звиклий працювати, призначений на працю, робітник, працівник, трудівник, роботар, роботяга, трудящий, зайнятий, (двигун) урухомлюваний чим
представляючий   1. (папери) подавець, презентант, презентаційний, 2. (гостей) зайнятий знайомленням, зазнайомлювач, рекомендаційний, 3. радий розіграти, актор, артист, в ролі кого, 4. (громаду) покликаний представити, представник, заступник, речник, відпоручник, зайнятий репрезентацією, для репрезентації, репрезентаційний
пригасаючий      напівзгаслий, щораз тьмяніший /п. марніший/, приречений згаснути, майже згаслий, згасущий, гаснучий, о. у стані згасання
пригноблюючий    звиклий пригноблювати, здатний пригнобити, гнобитель, пригноблювач, поневолювач, (лад) деспотичний, тиранічний, кровопивчий, п! придушуючий
приголомшуючий   д! потрясаючий, шокуючий
придушуючий      здатний придушити /стримати/, зайнятий придушенням, душитель, пригнічувач, пригноблювач, гнобитель, глушитель, мед. депресант, депресивний, тамувальний, іст. репресивний
приєднуючий      здатний /покликаний/ приєднати, зайнятий приєднанням, приєднувач, приєднувальний, для приєднання
прилягаючий      прилеглий, сусідній, суміжний, близький, (стінами) стінка в стінку, (одяг) якраз по фігурі, (- землі) межа в межу
присоромлюючий,  радий /здатний/ присоромити, присоромлювач, соромний, для присоромлення
пробігаючий      здатний пробігти, звиклий пробігати, пробігач, бігун
провокуючий      здатний спровокувати, звиклий провокувати, провокатор, провокаційний, (зухвалий) провокативний
прогресуючий     схильний прогресувати, щораз сильніший /активніший, інтенсивніший/, нестримний, динамічний, активний, незагальмований, фр. живучий, упертий, (склероз) мед. агресивний
проминаючий      1. минущий, плинний, проминущий, фр. перебутній, 2. звиклий минати, здатний проминути
проникаючий      проникливий, глибокосяжний, (- рану, радіяцію) глибинний
пропадаючий      запропащуваний, приречений на зникнення, напівзниклий, майже зниклий, зникомий, пропащий, пор. зникаючий
прославляючий    д! славлячий
просперуючий     д! процвітаючий
протестуючий     змушений протестувати, протестант, учасник протестної акції, протестаційний
процвітаючий     1. укритий цвітом, сповнений цвіту, весь у цвіту, квітучий, пишний, (вигляд) здоровий, 2. опромінений успіхом, удачливий, успішний, (край) щасливий, медоносний
прямуючий        що прямує, спрямований, в /по/ дорозі до, на шляху до, готовий у дорогу куди, з думкою іти куди, подорожній, подорожанин
радіючий         готовий радіти, сповнений радощів, охоплений радістю, розрадуваний, радий з чого, с. безмежно радий з чого
регулюючий       покликаний регулювати, зайнятий регулюванням, регулятор, регулювальник, регулювальний, регуляційний, для регулювання
рейдуючий        покликаний рейдувати, зайнятий рейдом, рейдовик, рейдовий
рикаючий         1. (звір) звиклий рикати, рикун, ревун, рикало, ревучий, рикучий, сповнений рику /реву/, 2. (не звір) звиклий гаркати, гаркун, гаркучий
розбурюючий      зайнятий розбуренням, бурильник, розбурювальник, бурильний, розбурливий, розбурювальний
роззброюючий     здатний роззброїти, зайнятий роззброєнням, роззброювач, роззброювальний, для роззброєння
     роззброююча усмішка      здатний топити лід усміх, розтопи-лід-усмішка
розуміючий       здатний зрозуміти, знавець, розумійко, тямущий, головатий, компетентний, кмітливий, свідомий чого, (- око) знавецький, (усміх) вибачливий, ір. розумака
роз'ятрюючий     ятрущий, здатний роз'ятрити, роз'ятрювач
руйнуючий        здатний зруйнувати, руйнівник, руїнник, нищитель, руйнівний, руїнницький, спустошливий, руйнувальний, деструктивний
самовибухаючий   здатний самовибухати /на самовибух/, самовибуховий, самовибухущий, підриваний автоматично, з автодетонатором, з дистанційним детонатором
самодовліючий    самодостатній, самоцінний
святкуючий       радий святкувати, покликаний відсвяткувати, зайнятий святкуванням, захоплений святом, учасник свята, празничанин, святковий, святкувальний, (люд) зібраний для святкування
сіяючий          д! сяючий
скімлячий        1. звиклий скиглити, скиглій, скавло, плаксій, плаксивий, скімливий, скигливий, ремстивий, 2. (біль) щемливий, терпкий, тупий
слабнучий        щораз слабший, напівослаблий, напівохлялий, напівпідупалий /на силі/
славлячий        величальний, славословний, панегіричний, прославитель, величальник, хвалій, радий /ставши, звиклий/ виславляти
сохнучий,        сушений, висушуваний, залишений сохнути, напіввисохлий, напівсухий, щораз сухіший, висихущий, висихомий
спадаючий        що спадає, падущий згори /з неба/, о. каменем /мов камінь/ згори /з неба/
спитуючий        (погляд) пильний, допитливий, запитущий, сторожкий, інквізиторський
співаючий        розіспіваний, співець, співак/а/, співун, співучий, співочий, зайнятий співами, сповнений співу, фр. голосистий
співпрацюючий    залучений до співпраці, згодний співпрацювати, співробітник, співпрацівник, співробітницький, для співробітництва, (з ворогом) колаборант, колаборантський
співчуваючий     сповнений співчуття, перейнятий співчуттям, прихильник, симпатик, співчутливець, співчутливий, жалісливий, розчулений
сплячий          сонний, розіспаний, пойнятий сном, в обійиах сну, звиклий спати, фр. приспаний
спостерігаючий   зайнятий спостереженням, спостерігач, споглядач, наглядач, доглядач, спостережливий, примітливий, уважливий, обсерваційний, стежовий, спостерігавчий, для спостереження
спрямовуючий     здатний спрямувати, дороговказ, провідний, вказівний, напрямний
страждаючий      приречений /покинутий/ страждати, сповнений муки, страдник, страдний, страдницький, довготерпеливий, мордований, катований, стражденний
страйкуючий      змушений страйкувати, страйкар, учасник страйку, страйковий, (завод) охоплений страйком
стріляючий       звиклий /радий, змушений/ стріляти, зайнятий стрільбою, стрілець, стрілецький, стрільчий, вогнепальний, (біль) штрикучий
сутеніючий       огортаний сутінню, дедалі темніший, напівсмерклий, майже смерклий, (обрій) присмерковий
сягаючий         здатний /спроможний/ досягти, (розміру чого) майже такий, як що
сяючий           опромінений, променистий, осяяний, блискучий, сяйнистий, сяйливий, осяйний, сонцеликий, сонцесяйний, сонцеясний, сонценосний
танцюючий        розтанцьований, закручений у танці, звиклий танцювати, охочий до танців, танцюрист, танцівник, танцюра, у круговерті танцю
тріумфуючий      сповнений радости перемоги /успіху/, п'яний від успіху, готовий святкувати перемогу, тріумфатор, переможець, тріумфальний, урочистий, урочий, фр. безмежно радий з чого
турбуючий        звиклий турбувати, здатний занепокоїти, сповнений клопотів, бентежний, турботний, бентежливий, клопітний, морочливий
узагальнюючий    здатний узагальнити, зайнятий узагальненням, узагальнювач, для узагальнення, узагальнювальний, сумарний, фр. узагальнений
умираючий        д! вмираючий
уряджаючий       здатний /покликаний, радий/ урядити, звиклий уряджати, зайнятий влаштуванням, організатор, упорядник, організаційний
утворюючий       здатний /покликаний/ створити, зайнятий створенням, творець, сотворитель, творчий, конструктивний, -творець (н. мітотворець), -творчий, -твірний (н. горотворчий, горотвірний)
утікаючий        змушений тікати, радий втекти, втікач, бігун, втікацький
уточнюючий       здатний /покликаний, готовий, радий/ уточнити, зайнятий уточненням, уточнювач, уточнювальний, для уточнення
